Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-010-854-530_model_0_ligand,-5.45,-0.26,0.2713,3.597
P4H6__Molport-016-641-490_model_0_ligand,-5.83,-0.47,0.2139,4.840
P4H6__Molport-010-911-058_model_0_ligand,-5.93,0.34,0.4383,4.946
P4H6__Molport-015-153-442_model_0_ligand,-5.04,-0.17,0.6677,3.952
P4H6__Molport-010-769-323_model_0_ligand,-6.35,-0.40,0.4172,4.787
P4H6__Molport-016-590-266_model_0_ligand,-6.11,-0.13,0.4525,4.363
P4H6__Molport-019-806-470_model_0_ligand,-5.57,0.41,0.3691,3.618
P4H6__Molport-019-784-041_model_0_ligand,-5.21,0.09,0.2671,4.606
P4H6__Molport-010-967-918_model_0_ligand,-6.11,0.32,0.4915,4.831
P4H6__Molport-016-698-684_model_0_ligand,-4.93,0.07,0.5325,4.623
P4H6__Molport-016-702-138_model_0_ligand,-5.35,-0.83,0.6291,6.008
P4H6__Molport-016-706-731_model_0_ligand,-6.02,-0.59,0.3632,4.608
P4H6__Molport-016-698-698_model_0_ligand,-5.59,-0.85,0.3736,4.631
P4H6__Molport-016-684-633_model_0_ligand,-4.93,0.12,0.3315,4.649
P4H6__Molport-019-795-835_model_0_ligand,-5.58,-0.40,0.4746,4.608
P4H6__Molport-016-702-122_model_0_ligand,-5.04,-0.91,0.2335,5.052
P4H6__Molport-019-628-452_model_0_ligand,-6.40,0.07,0.3805,4.605
P4H6__Molport-019-806-860_model_0_ligand,-5.59,-0.15,0.4742,4.490
P4H6__Molport-019-892-255_model_0_ligand,-5.36,1.81,0.4695,4.622
P4H6__Molport-019-565-760_model_0_ligand,-6.01,-0.70,0.4430,4.379
P4H6__Molport-020-210-190_model_0_ligand,-5.04,-0.74,0.3218,4.221
P4H6__Molport-020-233-359_model_0_ligand,-4.88,-0.68,0.3837,3.958
P4H6__Molport-019-826-531_model_0_ligand,-5.71,-0.16,0.4795,4.654
P4H6__Molport-019-891-948_model_0_ligand,-6.33,-1.13,0.2535,4.619
P4H6__Molport-020-240-194_model_0_ligand,-5.55,-0.09,0.2689,3.657
P4H6__Molport-020-223-654_model_0_ligand,-5.95,-0.49,0.5315,4.042
P4H6__Molport-019-892-860_model_0_ligand,-5.54,-0.44,0.5084,4.190
P4H6__Molport-019-907-574_model_0_ligand,-5.75,0.61,0.4306,4.326
P4H6__Molport-020-288-603_model_0_ligand,-5.24,-0.53,0.4740,4.231
P4H6__Molport-019-909-569_model_0_ligand,-5.21,-0.12,0.2982,4.314
P4H6__Molport-019-950-260_model_0_ligand,-5.70,-0.98,0.3878,4.892
P4H6__Molport-021-756-125_model_0_ligand,-4.50,-0.22,0.2866,3.893
P4H6__Molport-022-379-188_model_0_ligand,-4.30,-0.48,0.5072,3.045
P4H6__Molport-022-384-912_model_0_ligand,-4.23,-0.19,0.3100,3.557
P4H6__Molport-021-768-983_model_0_ligand,-4.58,-0.66,0.1954,4.107
P4H6__Molport-021-766-840_model_0_ligand,-4.98,-0.61,0.4170,5.018
P4H6__Molport-020-293-604_model_0_ligand,-6.04,-0.34,0.1261,4.264
P4H6__Molport-021-804-487_model_0_ligand,-4.14,-0.49,0.3239,3.976
P4H6__Molport-023-209-293_model_0_ligand,-4.92,-0.34,0.5330,4.272
P4H6__Molport-021-778-511_model_0_ligand,-6.70,0.04,0.4185,5.112
P4H6__Molport-020-288-986_model_0_ligand,-5.28,-0.98,0.1304,3.692
P4H6__Molport-021-773-379_model_0_ligand,-5.21,-0.38,0.2225,3.827
P4H6__Molport-021-772-937_model_0_ligand,-5.10,-0.64,0.2044,4.320
P4H6__Molport-023-251-143_model_0_ligand,-4.79,-0.37,0.3590,3.966
P4H6__Molport-023-204-798_model_0_ligand,-6.23,1.20,0.4206,4.456
P4H6__Molport-023-252-365_model_0_ligand,-4.66,-0.73,0.2024,4.851
P4H6__Molport-023-279-013_model_0_ligand,-5.44,-0.74,0.3762,3.742
P4H6__Molport-023-261-001_model_0_ligand,-5.04,-0.35,0.2403,4.098
P4H6__Molport-023-272-931_model_0_ligand,-4.83,-0.43,0.3751,3.804
P4H6__Molport-023-208-790_model_0_ligand,-7.06,-0.68,0.4380,5.259
P4H6__Molport-023-212-329_model_0_ligand,-5.96,-0.43,0.4141,3.869
P4H6__Molport-023-316-305_model_0_ligand,-4.91,-0.27,0.2344,4.185
