Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-004-906-102_model_0_ligand,-7.96,-0.76,0.3215,4.758
P4H6__Molport-003-820-652_model_0_ligand,-0.39,0.48,0.3663,4.841
P4H6__Molport-005-945-530_model_0_ligand,-3.68,-0.23,0.3544,3.249
P4H6__Molport-005-309-025_model_0_ligand,1.34,-0.16,0.3276,4.520
P4H6__Molport-005-511-714_model_0_ligand,-4.52,1.17,0.1893,5.377
P4H6__Molport-005-309-311_model_0_ligand,2.21,0.19,0.3832,5.556
P4H6__Molport-005-944-143_model_0_ligand,-0.07,0.49,0.2882,4.044
P4H6__Molport-006-780-402_model_0_ligand,-6.81,0.17,0.5760,5.165
P4H6__Molport-005-931-385_model_0_ligand,-7.64,0.93,0.1852,3.932
P4H6__Molport-006-388-356_model_0_ligand,1.37,0.40,0.5415,5.117
P4H6__Molport-005-944-005_model_0_ligand,-1.99,-0.20,0.2275,4.115
P4H6__Molport-005-292-456_model_0_ligand,-4.88,1.23,0.2930,5.789
P4H6__Molport-005-292-590_model_0_ligand,-4.55,-0.28,0.1872,5.549
P4H6__Molport-005-931-842_model_0_ligand,-6.67,0.21,0.2020,5.289
P4H6__Molport-005-916-776_model_0_ligand,15.00,-0.39,0.2687,5.272
P4H6__Molport-006-318-181_model_0_ligand,-7.24,0.29,0.2101,3.287
P4H6__Molport-004-980-617_model_0_ligand,4.93,-0.44,0.1293,4.286
P4H6__Molport-005-309-419_model_0_ligand,19.51,0.86,0.3833,5.654
P4H6__Molport-007-550-567_model_0_ligand,3.69,1.51,0.3785,4.132
P4H6__Molport-007-615-060_model_0_ligand,-7.88,-0.42,0.2499,5.298
P4H6__Molport-008-121-532_model_0_ligand,1.11,-0.23,0.3094,4.961
P4H6__Molport-007-874-485_model_0_ligand,-1.72,0.27,0.2173,4.435
P4H6__Molport-007-726-521_model_0_ligand,2.39,1.54,0.2599,5.047
