ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-000-450-916,OC(=O)c1ccccc1OCC(=O)c1ccc(O)cc1O,0.818602979,-0.087123632,0.97409451
P4H6__Molport-027-850-662,COC(=O)c1[nH]\c(=N\C(=O)Cc2ccc3OCCCOc3c2)sc1C,0.817131341,-0.735738993,0.942274868
P4H6__Molport-005-944-143,Cc1c(C(O)=O)c(O)cc2C(=O)c3cccc(O)c3C(=O)c12,0.816334784,0.099055052,0.985615134
P4H6__Molport-047-075-166,O[C@H]1CCN(CCCCCc2ccccc2OC[C@H]1O)C(=O)c1cccnc1O,0.815448761,-0.762595654,0.951196074
P4H6__Molport-039-194-160,OC(=O)CCCCN1C(=S)S\C(=C/N2C[C@@H]3C[C@H](C2)c2cccc(=O)n2C3)C1=O,0.815304577,-0.889331341,0.958879948
P4H6__Molport-028-856-094,Cc1cc(=O)c(O)c(o1)C(CC(=O)N1CCOCC1)c1ccc(O)c(Cl)c1,0.815266073,-1.945693493,0.961864531
P4H6__Molport-047-924-209,O[C@H]1CCN(CCCC(O)=O)C[C@@]1(CCCc1ccccc1)C(O)=O,0.815245986,0.853521824,0.969959021
P4H6__Molport-000-073-512,O=C(CCC(=O)N(CC(=O)NCC1CCCO1)Cc1ccco1)Nc1nccs1,0.815219641,-0.540464401,0.960444093
P4H6__Molport-047-489-114,CNC(=O)[C@@H]1C[C@H](CN1)n1cc(nn1)-c1ccc(CN2C[C@H](C)O[C@H](C)C2)cc1,0.815032721,-0.189795017,0.967878759
P4H6__Molport-002-520-519,Cc1oc2c(C)c3oc(=O)c(CC(=O)NCC(=O)NCC(O)=O)c(C)c3cc2c1C,0.81495434,-0.579997063,0.951270461
P4H6__Molport-003-820-652,Cc1c(\N=N\c2ccc(cc2)C(O)=O)c(O)n(CCO)c(=O)c1C#N,0.814877987,-0.651795626,0.977784812
P4H6__Molport-009-748-378,OCCn1nc(cc1NC(=O)Cn1c2ccccc2oc1=O)-c1ccco1,0.814017296,-1.315690041,0.973633647
P4H6__Molport-044-680-741,Cc1cc(C[C@@H]2COC[C@@H]2NC(=O)N2CCOc3ccccc3C2)on1,0.813084126,-0.746851206,0.962546408
P4H6__Molport-010-911-058,CC(C)Cn1c(=O)n(CC(=O)Nc2ccc3OCCOc3c2)c2csnc2c1=O,0.813029647,0.486169815,0.945633411
P4H6__Molport-028-737-535,CCc1ocnc1C(=O)N1CCCC(CNC(=O)c2ccc3OCOc3c2)C1,0.812833369,0.092932701,0.977437794
P4H6__Molport-000-853-302,Cc1c(CC(=O)N2CCN(CC2)C(=O)C2COc3ccccc3O2)c(=O)oc2c(O)c(O)ccc12,0.812185764,-1.700345993,0.969879448
P4H6__Molport-015-153-442,OC(=O)c1ccc(cc1)-c1ccc(cc1O)C(O)=O,0.811551154,0.268458605,0.974093735
P4H6__Molport-005-945-530,O[C@H]1[C@@H](Oc2cc(O)ccc2C1=O)c1ccc(O)cc1,0.811524034,-0.827510357,0.974784672
P4H6__Molport-000-678-761,Oc1ccc(CC(=O)c2ccc(O)cc2O)cc1,0.811109245,-0.726785183,0.966190636
